СПРАВОЧНИК ФОТОГРАФИЙ — nerka.pro
============================================================

Как добавить/заменить фото товара:
1. Найди номер (p...) нужного товара в списке ниже
2. Назови свой файл как номер (напр. p1.jpg)
3. Положи в папку: public/images/products/raw/
4. Двойной клик на «Обработать_фото.command»

Форматы: jpg, png, webp, heic
Размер: от 400×400 px, квадратные лучше всего

============================================================

  p1        Зубатка вяленая 23+
  p2        Зубатка вяленая икряная
  p3        Икра камбалы
  p4        Камбала б/ш
  p5        Камбала вяленая L
  p6        Камбала вяленая M
  p7        Камбала икряная
  p8        Камбала карамелька
  p9        Камбала карамелька Океан
  p10       Камбала соломка
  p11       Камбала соломка Океан
  p12       Камбала филе
  p13       Камбала филе на шкуре
  p14       Корюшка вяленая
  p15       Корюшка икряная
  p16       Минтай в кунжуте ДВРК
  p17       Минтай карамелька ДВРК
  p18       Минтай филе полоски ДВРК
  p19       Минтай филе х/к ДВРК
  p20       Палтус карамелька Океан
  p21       Плавник кальмара с/в
  p22       Щупальца кальмара г/к
  p23       Щупальца кальмара кунжут
  p24       Щупальца кальмара с/в
  p25       Анчоус
  p26       Горбуша паутинка
  p27       Горбуша паутинка с перцем
  p28       Желтый полосатик
  p29       Икра минтая вяленая
  p30       Икра сельди вяленая
  p31       Кальмар вкус Красной икры
  p32       Кальмар по шанхайски
  p33       Камбала соломка Фишка
  p34       Кольца кальмара
  p35       Минтай филе с перцем
  p36       Минтай филе сушеный
  p37       Минтай филе Сушок
  p38       Мясо кальмара
  p39       Осьминог
  p40       Палочки Самурай
  p41       Песчанка
  p42       Семга паутинка
  p43       Стрелки кальмара красные перец
  p44       Стрелки кальмара светлые
  p45       Стружка кальмара
  p46       Стружка кальмара вкус Краба
  p47       Треска соломка без перца
  p48       Тунец без перца
  p49       Тунец кусочки с перцем
  p50       Форель паутинка
  p51       Хот-тейст
  p52       Щука соломка без перца
  p53       Янтарная кусочки с перцем
  p54       Арахис глазури сыр+чеснок
  p55       Арахис глазурь 4 сыра
  p56       Арахис глазурь бекон
  p57       Арахис глазурь васаби
  p58       Арахис глазурь краб
  p59       Арахис глазурь креветка
  p60       Арахис глазурь микс
  p61       Арахис глазурь морской ассорти
  p62       Арахис глазурь сметана зелень
  p63       Арахис глазурь сыр
  p64       Арахис глазурь холодец хрен
  p65       Арахис глазурь чили /кг
  p66       Арахис глазурь шашлык
  p67       Арахис глузурь устрица
  p68       Арахис барбекю
  p69       Арахис грибы со сметаной
  p70       Арахис сметана зелень
  p71       Арахис сыр
  p72       Арахис четыре сыра
  p73       Арахис шашлык
  p74       Микс васаби крекер арахис
  p75       Микс сыра крекера и арахиса
  p76       Лавашик барбекю
  p77       Лавашик ветчина сыр
  p78       Лавашик жареные грибы
  p79       Лавашик сало с горчицей
  p80       Лавашик сметана зелень
  p81       Лавашик сыр
  p82       Лавашик холодец хрен
  p83       Лавашик чеснок
  p84       Рисовые крекеры
  p85       Рисовые крекеры Васаби /кг
  p86       Рисовые крекеры Креветка
